"zpid","streetaddress","zipcode","city","state","latitude","longitude","price","bathrooms","bedrooms","livingarea","rentzestimate","homedetailurl"
19569997,"1222 Coyote Creek Ct","95116","San Jose","CA","37.35224500","-121.87156000","2695.00","2.00",2,"849.00","2749.00","https://www.zillow.com/homedetails/1222-Coyote-Creek-Ct-San-Jose-CA-95116/19569997_zpid/"
24810712,"5844 Chabot Ct","94618","Oakland","CA","37.84892300","-122.24400000","4700.00","1.50",3,"1550.00","5259.00","https://www.zillow.com/homedetails/5844-Chabot-Ct-Oakland-CA-94618/24810712_zpid/"
24770462,"3759 Silverwood Ave","94602","Oakland","CA","37.79657000","-122.19956000","3500.00","1.00",2,"1268.00","3599.00","https://www.zillow.com/homedetails/3759-Silverwood-Ave-Oakland-CA-94602/24770462_zpid/"
15192343,"233 Thrift St","94112","San Francisco","CA","37.71727400","-122.46053000","4500.00","2.00",3,"1251.00","4500.00","https://www.zillow.com/homedetails/233-Thrift-St-San-Francisco-CA-94112/15192343_zpid/"
341330633,"857 Cambridge Ave","94025","Menlo Park","CA","37.44530500","-122.17626000","6800.00","2.00",3,"1720.00","7347.00","https://www.zillow.com/homedetails/857-Cambridge-Ave-Menlo-Park-CA-94025/341330633_zpid/"
19307292,"30 Cove Ln","94965","Sausalito","CA","37.85991700","-122.58121000","8600.00","2.00",4,"2800.00","7500.00","https://www.zillow.com/homedetails/30-Cove-Ln-Sausalito-CA-94965/19307292_zpid/"
19669180,"15305 Elm Park","95030","Monte Sereno","CA","37.24691400","-121.98733000","8988.00","4.50",6,"4628.00","9270.00","https://www.zillow.com/homedetails/15305-Elm-Park-Monte-Sereno-CA-95030/19669180_zpid/"
2084208671,"563 Shoal Cir","94065","Redwood City","CA","37.54044700","-122.23508500","4700.00","2.50",2,"1425.00","3999.00","https://www.zillow.com/homedetails/563-Shoal-Cir-Redwood-City-CA-94065/2084208671_zpid/"
15172175,"825 Olmstead St","94134","San Francisco","CA","37.72047400","-122.40988000","4850.00","2.00",3,"1363.00","4880.00","https://www.zillow.com/homedetails/825-Olmstead-St-San-Francisco-CA-94134/15172175_zpid/"
15538087,"115 Arrowood Ln","94403","San Mateo","CA","37.53666300","-122.30234500","4500.00","1.00",2,"1100.00","3800.00","https://www.zillow.com/homedetails/115-Arrowood-Ln-San-Mateo-CA-94403/15538087_zpid/"
82956228,"420 Spruce Ln","94306","Palo Alto","CA","37.41050000","-122.12112400","9500.00","3.50",4,"2873.00","9754.00","https://www.zillow.com/homedetails/420-Spruce-Ln-Palo-Alto-CA-94306/82956228_zpid/"
67090318,"68 Harriet St UNIT 11","94103","San Francisco","CA","37.77834700","-122.40680000","3700.00","2.00",2,"1316.00","4250.00","https://www.zillow.com/homedetails/68-Harriet-St-UNIT-11-San-Francisco-CA-94103/67090318_zpid/"
15600222,"470 Sand Hill Cir","94025","Menlo Park","CA","37.42366400","-122.22359500","6499.00","2.50",3,"2070.00","6999.00","https://www.zillow.com/homedetails/470-Sand-Hill-Cir-Menlo-Park-CA-94025/15600222_zpid/"
24773936,"3826 Lyman Rd","94602","Oakland","CA","37.80430000","-122.21424000","3500.00","2.00",3,NULL,"4200.00","https://www.zillow.com/homedetails/3826-Lyman-Rd-Oakland-CA-94602/24773936_zpid/"
